2022/04/17 19:03:05	タンパク質多めの日本食	焼き魚定食
2022/04/17 19:03:24	イタリアンでこってりしたもの	カルボナーラ
2022/04/17 19:04:43	甘いランチ	フレンチトースト
2022/04/17 19:04:51	友達とワイワイ食べる	ピザ
2022/04/17 19:05:47	小腹がすいた隙間時間	おにぎり
2022/04/17 19:08:01	パン系で軽めに食べたい	サンドウィッチ
2022/04/17 19:32:23	お腹に優しいものがいいな	お粥
2022/04/17 19:38:58	疲れが取れて温まるもの	薬膳鍋
2022/04/17 19:41:54	温かい麺類食べたいけど野菜も摂取したい	ちゃんぽん
2022/04/17 19:44:17	ガッツリお肉食べたい	ステーキ
2022/04/17 19:46:36	脂質低めで贅沢なお食事食べたい	お寿司
2022/04/17 19:47:17	パクチー入ってて手軽に食べれるもの	バインミー
2022/04/17 19:49:32	お金ないけど牛肉食べたい	牛丼
2022/04/17 19:50:35	エスニックで糖質少なめがいいな	バインセオ
2022/04/17 20:19:06	暑いのでさっぱり冷たいものが食べたい	ざるそば
2022/04/17 20:20:04	身体が温まる洋食	クリームシチュー
2022/04/17 20:22:58	北海道の風を感じたい	ジンギスカン
2022/04/17 20:23:49	こってり系で楽しく食べれるもの	串カツ
2022/04/17 20:25:08	魚系で非日常感ある贅沢したい	うな重
2022/04/17 20:25:52	いろんな種類の魚介楽しみたい	海鮮丼
2022/04/17 20:27:31	ワインに合って軽く食べれるもの	フラムクーヘン
2022/04/17 20:36:51	甘辛なチキン	ヤンニョムチキン
2022/04/17 20:37:15	肉汁たっぷりなメイン	ハンバーグ
2022/04/17 20:37:59	キャベツと合わせてお肉食べたい	生姜焼き
2022/04/17 20:38:18	ハワイ気分になれる	ロコモコ
2022/04/17 20:39:16	真冬にこたつであったまりたい	おでん
2022/04/17 22:34:21	熱くて辛いもの食べてスッキリしたい	火鍋
2022/04/17 22:36:17	童心に帰りたい	お子様ランチ
2022/04/17 22:37:37	ヘルシーに豚肉食べたい	しゃぶしゃぶ
2022/04/17 22:45:55	チーズ入ってるお米系	ドリア
2022/04/17 22:46:48	サラッと食べれるねばねば系	とろろそば
2022/04/17 22:48:54	インパクトある魚介料理	ロブスター
2022/04/17 22:51:02	軽く鶏肉食べたい	焼き鳥
2022/04/17 22:51:50	濃いめの味付けで豚肉食べたい	豚丼
2022/04/19 21:41:05	試合前の勝負飯	カツ
2022/04/19 21:53:30	食欲ないけどさらっと食べたい	お茶漬け
2022/04/19 21:55:23	安く素早くたべれる麺類	ラーメン
